CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping,mapping_key,eps_std
55916610,2016.0,4.0,0.1,0.15,55916610,MAGIC SOFTWARE ENTERPRISES LTD,Magic Software Enterprises Limited,high,transcripts_by_company/Magic_Software_Enterprises_Limited_2016Q4.txt,2016-11-10,2016-11-15,0.12,2016-11-15,high,55916610_2016_4,0.0157142857142857
96287910,2020.0,1.0,0.21,0.2,96287910,WHEATON PRECIOUS METALS CORP,Wheaton Precious Metals Corp.,high,transcripts_by_company/Wheaton_Precious_Metals_Corp_2020Q1.txt,2020-01-29,2020-03-11,0.56,2020-03-11,high,96287910_2020_1,0.0266666666666666
78411710,2007.0,2.0,0.34,0.65,78411710,SEI CORP,SEI Investments,high,transcripts_by_company/SEI_Investments_2007Q2.txt,2007-04-25,2007-04-25,0.62,2007-04-25,high,78411710_2007_2,0.01
30607B10,2020.0,2.0,-0.01,0.09,30607B10,FALCON MINERALS CORP,Falcon Minerals Corporation,high,transcripts_by_company/Falcon_Minerals_Corporation_2020Q2.txt,2020-05-08,2020-05-07,0.05,2020-05-07,high,30607B10_2020_2,0.0266666666666666
98585L10,2018.0,3.0,2.464,1.11,98585L10,YIRENDAI LTD,Yirendai Ltd.,high,transcripts_by_company/Yirendai_Ltd_2018Q3.txt,2018-08-29,2018-08-28,0.5,2018-08-28,high,98585L10_2018_3,0.2075
04289L10,2008.0,2.0,0.03,0.03,04289L10,ART TECHNOLOGY GROUP INC,Art Technology Group,high,transcripts_by_company/Art_Technology_Group_2008Q2.txt,2008-04-24,2008-04-24,0.02,2008-04-24,high,04289L10_2008_2,0.0088888888888888
83545G10,2017.0,3.0,0.4,0.59,83545G10,SONIC AUTOMOTIVE INC,"Sonic Automotive, Inc.",high,transcripts_by_company/Sonic_Automotive_Inc_2017Q3.txt,2017-07-28,2017-07-28,0.4,2017-07-28,high,83545G10_2017_3,0.04
58711810,2010.0,4.0,0.57,0.4,58711810,MENS WEARHOUSE INC,Men's Wearhouse,high,transcripts_by_company/Mens_Wearhouse_2010Q4.txt,2010-12-07,2010-12-07,0.57,2010-12-07,high,58711810_2010_4,0.0244444444444444
59268810,2009.0,2.0,1.17,1.48,59268810,METTLER-TOLEDO INTERNATIONAL INC,Mettler-Toledo International,high,transcripts_by_company/Mettler-Toledo_International_2009Q2.txt,2009-04-30,2009-04-30,0.95,2009-04-30,high,59268810_2009_2,0.1133333333333333
75970E10,2011.0,2.0,0.23,0.26,75970E10,RENASANT CORP,Renasant Corporation,high,transcripts_by_company/Renasant_Corporation_2011Q2.txt,2011-04-20,2011-04-19,0.09,2011-04-19,high,75970E10_2011_2,0.0255555555555555
52904310,2005.0,3.0,0.04,0.24,52904310,LEXINGTON CORPORATE PROPERTIES,Lexington Corporate Properties Trust,high,transcripts_by_company/Lexington_Corporate_Properties_Trust_2005Q3.txt,2005-08-02,2005-08-02,0.14,2005-08-02,high,52904310_2005_3,0.0566666666666666
G0692U10,2012.0,1.0,1.07,0.97,G0692U10,AXIS CAPITAL HOLDINGS LTD,AXIS Capital Holdings Limited,high,transcripts_by_company/AXIS_Capital_Holdings_Limited_2012Q1.txt,2012-02-15,2012-02-07,-1.26,2012-02-07,high,G0692U10_2012_1,0.1311111111111111
05350T10,2012.0,2.0,-0.1,0.12,05350T10,AVANTAIR INC,"Avantair, Inc.",high,transcripts_by_company/Avantair_Inc_2012Q2.txt,2012-05-10,2012-05-10,-0.01,2012-05-10,high,05350T10_2012_2,
57708110,2005.0,3.0,0.55,0.65,57708110,MATTEL /CA/ PRED INC,Mattel,high,transcripts_by_company/Mattel_2005Q3.txt,2005-07-18,2005-07-18,0.05,2005-07-18,high,57708110_2005_3,0.02
16950M10,2016.0,4.0,,0.53,16950M10,CHINACACHE INTERNATIONAL HOLDING,ChinaCache International Holdings Ltd.,high,transcripts_by_company/ChinaCache_International_Holdings_Ltd_2016Q4.txt,2016-11-30,2016-11-29,,2016-11-29,high,16950M10_2016_4,
50242410,2004.0,4.0,1.04,1.05,50242410,L-3 COMMUNICATIONS HOLDINGS INC,L-3 Communications Holdings,high,transcripts_by_company/L-3_Communications_Holdings_2004Q4.txt,2004-10-26,2004-10-26,0.89,2004-10-26,high,50242410_2004_4,0.0233333333333333
86183Q10,2009.0,2.0,0.14,0.14,86183Q10,STONEMOR PARTNERS LP,StoneMor Partners LP,high,transcripts_by_company/StoneMor_Partners_LP_2009Q2.txt,2009-05-11,2009-05-11,-0.07,2009-05-11,high,86183Q10_2009_2,0.0633333333333333
00440P1X,2006.0,4.0,-0.19,1.75,00440P1X,ACE AVIATION HOLDINGS INC,ACE Limited,high,transcripts_by_company/ACE_Limited_2006Q4.txt,2006-10-25,2006-11-10,0.3,2006-11-10,high,00440P1X_2006_4,
19210850,2018.0,3.0,-0.11,0.0,19210850,COEUR MINING INC,"Coeur Mining, Inc.",high,transcripts_by_company/Coeur_Mining_Inc_2018Q3.txt,2018-07-26,2018-07-25,0.01,2018-07-25,high,19210850_2018_3,0.0466666666666666
29410P10,2006.0,2.0,0.25,,29410P10,EPCOS AG,Epcos,high,transcripts_by_company/Epcos_2006Q2.txt,2006-05-04,2006-05-23,0.07,2006-05-23,high,29410P10_2006_2,
23210910,2018.0,2.0,0.12,0.17,23210910,CUTERA INC,"Cutera, Inc.",high,transcripts_by_company/Cutera_Inc_2018Q2.txt,2018-05-08,2018-05-08,-0.02,2018-05-08,high,23210910_2018_2,0.0477777777777777
18449610,2005.0,1.0,0.27,-0.03,18449610,CLEAN HARBORS INC,Clean Harbors,high,transcripts_by_company/Clean_Harbors_2005Q1.txt,2005-03-15,2005-03-15,0.74,2005-03-15,high,18449610_2005_1,
67086U30,2023.0,4.0,,-0.06,67086U30,OLB GROUP INC,Colabor Group Inc.,high,transcripts_by_company/Colabor_Group_Inc_2023Q4.txt,2023-10-19,2023-11-13,-0.12,2023-11-13,high,67086U30_2023_4,
G0043411,2014.0,2.0,,,G0043411,ABERDEEN ASSET MANAGEMENT PLC,Aberdeen Asset Management plc,high,transcripts_by_company/Aberdeen_Asset_Management_plc_2014Q2.txt,2014-05-06,2014-05-06,,2014-05-06,high,G0043411_2014_2,
41987910,2014.0,1.0,-0.02,-0.14,41987910,HAWAIIAN HOLDINGS INC,"Hawaiian Holdings, Inc.",high,transcripts_by_company/Hawaiian_Holdings_Inc_2014Q1.txt,2014-01-28,2014-01-28,0.88,2014-01-28,high,41987910_2014_1,0.0844444444444444
68134L10,2021.0,3.0,0.03,0.01,68134L10,OLO INC,Olo Inc.,high,transcripts_by_company/Olo_Inc_2021Q3.txt,2021-08-10,2021-08-10,0.03,2021-08-10,high,68134L10_2021_3,0.0
49427F10,2018.0,1.0,0.36,0.33,49427F10,KILROY REALTY CORP,Kilroy Realty Corporation,high,transcripts_by_company/Kilroy_Realty_Corporation_2018Q1.txt,2018-02-01,2018-04-25,0.36,2018-04-25,high,49427F10_2018_1,
02358610,2013.0,2.0,5.78,4.37,02358610,AMERCO,Amerco,high,transcripts_by_company/Amerco_2013Q2.txt,2013-06-06,2013-06-05,11.7,2013-06-05,high,02358610_2013_2,
30267U10,2007.0,3.0,0.28,0.22,30267U10,FTD GROUP INC,"FTD Group, Inc.",high,transcripts_by_company/FTD_Group_Inc_2007Q3.txt,2007-08-16,2007-08-16,1.08,2007-08-16,high,30267U10_2007_3,0.015
83269640,2009.0,4.0,1.22,0.93,83269640,J M SMUCKER CO,J. M. Smucker Company,high,transcripts_by_company/J_M_Smucker_Company_2009Q4.txt,2009-11-20,2009-11-20,1.22,2009-11-20,high,83269640_2009_4,0.03625
68212910,2010.0,1.0,0.17,0.07,68212910,OMNOVA SOLUTIONS,OMNOVA Solutions,high,transcripts_by_company/OMNOVA_Solutions_2010Q1.txt,2010-01-19,2010-01-18,0.61,2010-01-18,high,68212910_2010_1,0.005
92165910,2011.0,2.0,-0.05,0.03,92165910,VANDA PHARMACEUTICALS INC,"Vanda Pharmaceuticals, Inc.",high,transcripts_by_company/Vanda_Pharmaceuticals_Inc_2011Q2.txt,2011-05-05,2011-05-05,0.0,2011-05-05,high,92165910_2011_2,0.0222222222222222
72925110,2010.0,1.0,0.47,0.06,72925110,PLUM CREEK TIMBER CO INC,Plum Creek Timber,high,transcripts_by_company/Plum_Creek_Timber_2010Q1.txt,2010-02-01,2010-02-01,1.45,2010-02-01,high,72925110_2010_1,0.0466666666666666
17867720,2009.0,4.0,,,17867720,CITY TELECOM HK LTD,City Telecom HK Ltd,high,transcripts_by_company/City_Telecom_HK_Ltd_2009Q4.txt,2009-11-05,2009-12-18,,2009-12-18,high,17867720_2009_4,
88077010,2004.0,3.0,0.21,0.27,88077010,TERADYNE INC,Teradyne Inc.,high,transcripts_by_company/Teradyne_Inc_2004Q3.txt,2004-07-21,2004-07-20,0.39,2004-07-20,high,88077010_2004_3,0.046
55271510,2009.0,1.0,0.01,1.14,55271510,MEMC ELECTRONIC MATERIALS INC,MEMC Electronic Materials,high,transcripts_by_company/MEMC_Electronic_Materials_2009Q1.txt,2009-01-22,2009-01-22,3.27,2009-01-22,high,55271510_2009_1,0.1066666666666666
86887310,2013.0,2.0,0.21,0.23,86887310,SURMODICS INC,"SurModics, Inc.",high,transcripts_by_company/SurModics_Inc_2013Q2.txt,2013-06-03,2013-07-31,0.21,2013-07-31,high,86887310_2013_2,0.0166666666666666
89621520,2009.0,2.0,0.1,0.2,89621520,TRIMAS CORP,TriMas Corporation,high,transcripts_by_company/TriMas_Corporation_2009Q2.txt,2009-05-06,2009-05-06,-0.03,2009-05-06,high,89621520_2009_2,0.05375
P3107610,2009.0,4.0,1.61,1.35,P3107610,COPA HOLDINGS SA,Copa Holdings,high,transcripts_by_company/Copa_Holdings_2009Q4.txt,2009-11-13,2009-11-12,0.99,2009-11-12,high,P3107610_2009_4,0.1644444444444444
84652J10,2017.0,1.0,-1.7,-1.11,84652J10,SPARK THERAPEUTICS INC,Spark Therapeutics,high,transcripts_by_company/Spark_Therapeutics_2017Q1.txt,2017-03-06,2017-05-09,-1.7,2017-05-09,high,84652J10_2017_1,0.17
74271810,2010.0,4.0,1.13,1.12,74271810,PROCTER  GAMBLE CO,Procter &amp; Gamble,high,transcripts_by_company/Procter_and_Gamble_2010Q4.txt,2010-10-12,2010-10-27,1.02,2010-10-27,high,74271810_2010_4,0.0288888888888888
26138E10,2011.0,4.0,0.82,0.76,26138E10,DR PEPPER SNAPPLE GROUP INC,Dr Pepper Snapple Group Inc,high,transcripts_by_company/Dr_Pepper_Snapple_Group_Inc_2011Q4.txt,2011-10-26,2011-10-26,0.71,2011-10-26,high,26138E10_2011_4,0.0233333333333333
G0450A10,2014.0,3.0,1.05,0.71,G0450A10,ARCH CAPITAL GROUP LTD,Arch Capital Group Ltd.,high,transcripts_by_company/Arch_Capital_Group_Ltd_2014Q3.txt,2014-08-01,2014-10-29,1.05,2014-10-29,high,G0450A10_2014_3,0.1066666666666666
42628110,2004.0,1.0,0.18,0.17,42628110,HENRY JACK & ASSOCIATES,Jack Henry &amp; Associates,high,transcripts_by_company/Jack_Henry_and_Associates_2004Q1.txt,2004-01-20,2004-01-19,0.16,2004-01-19,high,42628110_2004_1,0.0066666666666666
20717M10,2022.0,1.0,-0.19,-0.25,20717M10,CONFLUENT INC,"Confluent, Inc.",high,transcripts_by_company/Confluent_Inc_2022Q1.txt,2022-02-10,2022-02-10,-0.86,2022-02-10,high,20717M10_2022_1,0.0211111111111111
00635P10,2007.0,2.0,0.01,0.3,00635P10,ADAMS RESPIRATORY THERAPEUTICS I,Adams Respiratory Therapeutics,high,transcripts_by_company/Adams_Respiratory_Therapeutics_2007Q2.txt,2007-04-04,2007-05-10,0.08,2007-05-10,high,00635P10_2007_2,0.0839999999999999
0977512X,2012.0,2.0,0.1,0.11,0977512X,BOMBARDIER INC,"Bombardier, Inc.",high,transcripts_by_company/Bombardier_Inc_2012Q2.txt,2012-05-10,2012-05-10,0.1,2012-05-10,high,0977512X_2012_2,0.01
74586710,2002.0,4.0,2.78,2.45,74586710,PULTE CORPORATION,Pulte Homes,high,transcripts_by_company/Pulte_Homes_2002Q4.txt,2002-10-22,2002-10-22,1.83,2002-10-22,high,74586710_2002_4,0.1
71657810,2010.0,1.0,0.57,0.16,71657810,PETROLEUM DEVELOPMENT CORPORATIO,Petroleum Development,high,transcripts_by_company/Petroleum_Development_2010Q1.txt,2010-03-04,2010-03-04,-0.18,2010-03-04,high,71657810_2010_1,0.1544444444444444
13321L1X,2007.0,3.0,0.71,0.5,13321L1X,CAMECO CORP,Cameco,high,transcripts_by_company/Cameco_2007Q3.txt,2007-07-30,2007-07-30,0.5,2007-07-30,high,13321L1X_2007_3,0.1028571428571428
23077010,2014.0,1.0,,,23077010,CUMBERLAND PHARMACEUTICALS INC,Cumberland Pharmaceuticals Inc,high,transcripts_by_company/Cumberland_Pharmaceuticals_Inc_2014Q1.txt,2014-03-04,2014-03-04,-0.11,2014-03-04,high,23077010_2014_1,
92243G10,2022.0,2.0,-0.8,-0.65,92243G10,VAXCYTE INC,"Vaxcyte, Inc.",high,transcripts_by_company/Vaxcyte_Inc_2022Q2.txt,2021-05-13,2021-05-11,-0.41,2021-05-11,high,92243G10_2022_2,0.046
04014910,2008.0,1.0,0.25,0.23,04014910,ARGON ST INC,"Argon ST, Inc.",high,transcripts_by_company/Argon_ST_Inc_2008Q1.txt,2008-02-07,2008-02-07,0.19,2008-02-07,high,04014910_2008_1,0.0255555555555555
69349H10,2012.0,1.0,0.17,0.09,69349H10,PNM RESOURCES INC,"PNM Resources, Inc.",high,transcripts_by_company/PNM_Resources_Inc_2012Q1.txt,2012-02-29,2012-02-29,1.08,2012-02-29,high,69349H10_2012_1,0.0285714285714285
66987E2X,2013.0,2.0,-0.03,-0.03,66987E2X,NOVAGOLD RESOURCES INC,NOVAGOLD RESOURCES INC.,high,transcripts_by_company/NOVAGOLD_RESOURCES_INC_2013Q2.txt,2013-04-11,2013-04-10,-0.05,2013-04-10,high,66987E2X_2013_2,
57708110,2010.0,3.0,0.77,0.75,57708110,MATTEL /CA/ PRED INC,Mattel,high,transcripts_by_company/Mattel_2010Q3.txt,2010-07-16,2010-07-16,0.14,2010-07-16,high,57708110_2010_3,0.0488888888888888
Y6219610,2011.0,3.0,0.15,0.26,Y6219610,NAVIOS MARITIME HOLDINGS INC,Navios Maritime Holdings Inc.,high,transcripts_by_company/Navios_Maritime_Holdings_Inc_2011Q3.txt,2011-08-22,2011-08-22,0.11,2011-08-22,high,Y6219610_2011_3,0.05
09625U10,2016.0,4.0,-0.18,-0.01,09625U10,BLUEKNIGHT ENERGY PARTNERS LP,"Blueknight Energy Partners, L.P",high,transcripts_by_company/Blueknight_Energy_Partners_LP_2016Q4.txt,2016-11-02,2016-11-01,0.13,2016-11-01,high,09625U10_2016_4,0.036
59047Q10,2012.0,2.0,-0.26,-0.23,59047Q10,MERU NETWORKS INC,Meru Networks Inc.,high,transcripts_by_company/Meru_Networks_Inc_2012Q2.txt,2012-04-30,2012-04-30,-0.5,2012-04-30,high,59047Q10_2012_2,0.0366666666666666
75991010,2023.0,1.0,-0.05,-0.05,75991010,KORU MEDICAL SYSTEMS INC,"KORU Medical Systems, Inc.",high,transcripts_by_company/KORU_Medical_Systems_Inc_2023Q1.txt,2023-03-08,2023-03-08,-0.19,2023-03-08,high,75991010_2023_1,0.01
00765H10,2008.0,4.0,-0.07,-0.11,00765H10,ADVANCED LIFE SCIENCES HOLDS INC,"Advanced Life Sciences Holdings, Inc.",high,transcripts_by_company/Advanced_Life_Sciences_Holdings_Inc_2008Q4.txt,2008-10-01,2008-11-06,-0.34,2008-11-06,high,00765H10_2008_4,0.0642857142857143
58047P10,2006.0,1.0,0.41,0.4,58047P10,MCG CAPITAL CORPORATION,MCG Capital Corporation,high,transcripts_by_company/MCG_Capital_Corporation_2006Q1.txt,2006-02-22,2006-02-22,1.38,2006-02-22,high,58047P10_2006_1,0.0155555555555555
62458010,2009.0,2.0,-0.37,0.1,62458010,MOVADO GROUP INC,Movado,high,transcripts_by_company/Movado_2009Q2.txt,2009-04-09,2009-04-09,0.55,2009-04-09,high,62458010_2009_2,0.0222222222222222
03662Q10,2018.0,4.0,2.13,1.35,03662Q10,ANSYS INC,"ANSYS, Inc.",high,transcripts_by_company/ANSYS_Inc_2018Q4.txt,2018-11-08,2018-11-07,1.31,2018-11-07,high,03662Q10_2018_4,0.066
69354N10,2019.0,4.0,0.6,0.48,69354N10,PRA GROUP INC,"PRA Group, Inc.",high,transcripts_by_company/PRA_Group_Inc_2019Q4.txt,2019-11-07,2019-11-07,0.55,2019-11-07,high,69354N10_2019_4,0.056
87966410,2008.0,2.0,0.03,0.05,87966410,TELLABS INC,Tellabs,high,transcripts_by_company/Tellabs_2008Q2.txt,2008-04-22,2008-04-22,0.06,2008-04-22,high,87966410_2008_2,0.0166666666666666
64107N20,2016.0,4.0,0.43,0.45,64107N20,NET 1 UEPS TECHNOLOGIES INC,Net1 UEPS Technologies Inc.,high,transcripts_by_company/Net1_UEPS_Technologies_Inc_2016Q4.txt,2016-10-05,2016-11-03,0.48,2016-11-03,high,64107N20_2016_4,
50104410,2010.0,2.0,0.58,0.71,50104410,KROGER CO,The Kroger Company,high,transcripts_by_company/The_Kroger_Company_2010Q2.txt,2010-06-24,2010-06-17,0.58,2010-06-17,high,50104410_2010_2,0.0477777777777777
29359T10,2018.0,1.0,-0.05,-0.06,29359T10,ENSYNC INC,"EnSync, Inc.",high,transcripts_by_company/EnSync_Inc_2018Q1.txt,2018-02-13,2018-02-13,-0.05,2018-02-13,high,29359T10_2018_1,0.01
58506K10,2011.0,3.0,0.34,0.33,58506K10,MEDQUIST HOLDINGS INC,Medquist Holdings Inc,high,transcripts_by_company/Medquist_Holdings_Inc_2011Q3.txt,2011-08-16,2011-08-15,0.31,2011-08-15,high,58506K10_2011_3,0.0125
05461510,2005.0,3.0,0.22,0.26,05461510,AXSYS TECHNOLOGIES INC.,Axsys Technologies,high,transcripts_by_company/Axsys_Technologies_2005Q3.txt,2005-07-27,2005-07-26,0.21,2005-07-26,high,05461510_2005_3,0.02
46120310,2019.0,4.0,-0.28,-0.13,46120310,INVACARE CORP,Invacare Corporation,high,transcripts_by_company/Invacare_Corporation_2019Q4.txt,2019-11-07,2019-11-06,-0.15,2019-11-06,high,46120310_2019_4,0.0511111111111111
45031U10,2022.0,4.0,-0.92,-0.1,45031U10,ISTAR INC,SkiStar AB,medium,transcripts_by_company/SkiStar_AB_2022Q4.txt,2021-12-20,2022-02-24,3.41,2022-02-24,medium,45031U10_2022_4,0.1566666666666666
86366710,2012.0,4.0,1.14,1.14,86366710,STRYKER CORP,Stryker Corp,high,transcripts_by_company/Stryker_Corp_2012Q4.txt,2012-10-17,2012-10-17,0.97,2012-10-17,high,86366710_2012_4,0.0209999999999999
08915P10,2008.0,4.0,0.17,0.22,08915P10,BIG 5 SPORTING GOODS CORP,Big 5 Sporting Goods,high,transcripts_by_company/Big_5_Sporting_Goods_2008Q4.txt,2008-11-03,2008-11-03,0.21,2008-11-03,high,08915P10_2008_4,0.0289999999999999
97809710,2011.0,3.0,0.82,0.77,97809710,WOLVERINE WW,"Wolverine Worldwide, Inc.",high,transcripts_by_company/Wolverine_Worldwide_Inc_2011Q3.txt,2011-07-12,2011-07-12,0.48,2011-07-12,high,97809710_2011_3,0.02
38455610,2010.0,3.0,0.16,0.12,38455610,GRAHAM CORP,Graham Packaging Holdings Inc.,high,transcripts_by_company/Graham_Packaging_Holdings_Inc_2010Q3.txt,2010-08-03,2010-10-29,0.16,2010-10-29,high,38455610_2010_3,0.0255555555555555
45719T10,2011.0,4.0,,-0.11,45719T10,INHIBITEX INC,Inhibitex Inc,high,transcripts_by_company/Inhibitex_Inc_2011Q4.txt,2011-11-04,2011-11-04,-0.07,2011-11-04,high,45719T10_2011_4,0.02
71742Q10,2023.0,1.0,0.29,0.32,71742Q10,PHIBRO ANIMAL HEALTH CORP,Phibro Animal Health Corporation,high,transcripts_by_company/Phibro_Animal_Health_Corporation_2023Q1.txt,2023-02-09,2023-02-08,0.34,2023-02-08,high,71742Q10_2023_1,0.01625
14067E50,2011.0,1.0,0.41,0.39,14067E50,CAPSTEAD MORTGAGE CORP,Capstead Mortgage,high,transcripts_by_company/Capstead_Mortgage_2011Q1.txt,2011-02-03,2011-02-02,1.52,2011-02-02,high,14067E50_2011_1,0.0322222222222222
04313610,2004.0,4.0,0.2,0.18,04313610,ARTHROCARE CORPORATION,ArthroCare,high,transcripts_by_company/ArthroCare_2004Q4.txt,2004-10-19,2004-10-19,0.16,2004-10-19,high,04313610_2004_4,0.011
48020Q10,2009.0,1.0,-1.78,0.91,48020Q10,JONES LANG LASALLE INC,Jones Lang LaSalle,high,transcripts_by_company/Jones_Lang_LaSalle_2009Q1.txt,2009-02-04,2009-02-03,2.44,2009-02-03,high,48020Q10_2009_1,0.2766666666666666
13100M50,2015.0,4.0,-0.03,0.16,13100M50,CALIX INC,"Calix, Inc.",high,transcripts_by_company/Calix_Inc_2015Q4.txt,2015-10-29,2015-10-29,0.16,2015-10-29,high,13100M50_2015_4,0.0422222222222222
89989610,2017.0,1.0,1.01,1.02,89989610,TUPPERWARE BRANDS CORP,Tupperware Brands Corporation,high,transcripts_by_company/Tupperware_Brands_Corporation_2017Q1.txt,2017-02-01,2017-02-01,4.39,2017-02-01,high,89989610_2017_1,0.03
89385P10,2004.0,4.0,0.17,0.17,89385P10,TRANSPORT CORP OF AMERICA,"Transport Corporation of America, Inc.",high,transcripts_by_company/Transport_Corporation_of_America_Inc_2004Q4.txt,2004-10-27,2004-10-27,0.01,2004-10-27,high,89385P10_2004_4,
29084Q10,2003.0,4.0,0.17,1.8,29084Q10,EMCOR GROUP INC,"EMCOR Group, Inc.",high,transcripts_by_company/EMCOR_Group_Inc_2003Q4.txt,2003-10-23,2003-10-23,0.42,2003-10-23,high,29084Q10_2003_4,0.084
59001A10,2007.0,3.0,-4.52,0.05,59001A10,MERITAGE CORPORATION,Meritage Homes Corporation,high,transcripts_by_company/Meritage_Homes_Corporation_2007Q3.txt,2007-07-27,2007-07-26,-2.16,2007-07-26,high,59001A10_2007_3,0.7444444444444445
70164510,2011.0,1.0,,,70164510,PARLUX FRAGRANCES,Parlux Fragrances,high,transcripts_by_company/Parlux_Fragrances_2011Q1.txt,2011-02-03,2011-02-02,,2011-02-02,high,70164510_2011_1,
98752010,2011.0,1.0,0.5,0.47,98752010,YOUNG INNOVATIONS INC,Young Innovations,high,transcripts_by_company/Young_Innovations_2011Q1.txt,2011-02-03,2011-02-02,1.86,2011-02-02,high,98752010_2011_1,
60054410,2003.0,4.0,0.16,0.15,60054410,HERMAN  MILLER INC,Herman Miller,high,transcripts_by_company/Herman_Miller_2003Q4.txt,2003-12-18,2003-12-17,0.16,2003-12-17,high,60054410_2003_4,0.0277777777777777
05301510,2012.0,4.0,0.72,0.74,05301510,AUTOMATIC DATA PROCESSING INC,Automatic Data Processing Inc,high,transcripts_by_company/Automatic_Data_Processing_Inc_2012Q4.txt,2012-11-01,2012-11-01,0.62,2012-11-01,high,05301510_2012_4,0.0233333333333333
83269640,2008.0,3.0,0.82,0.73,83269640,J M SMUCKER CO,J. M. Smucker Company,high,transcripts_by_company/J_M_Smucker_Company_2008Q3.txt,2008-08-14,2008-08-14,0.82,2008-08-14,high,83269640_2008_3,0.01
46114710,2014.0,2.0,0.13,0.11,46114710,INTEST CORP,inTEST Corp.,high,transcripts_by_company/inTEST_Corp_2014Q2.txt,2014-04-30,2014-04-30,0.03,2014-04-30,high,46114710_2014_2,0.01
92231M10,2003.0,3.0,-0.19,-0.19,92231M10,VASCULAR SOLUTIONS INC,Vascular Solutions,high,transcripts_by_company/Vascular_Solutions_2003Q3.txt,2003-07-15,2003-07-15,-0.21,2003-07-15,high,92231M10_2003_3,
68554V10,2003.0,2.0,-0.01,0.01,68554V10,ORASURE TECHNOLOGIES INC,OraSure Technologies,high,transcripts_by_company/OraSure_Technologies_2003Q2.txt,2003-04-29,2003-04-29,-0.03,2003-04-29,high,68554V10_2003_2,0.0066666666666666
74360610,2006.0,1.0,0.46,0.47,74360610,"PROSPERITY BANCSHARES, INC.",Prosperity Bancshares Inc.,high,transcripts_by_company/Prosperity_Bancshares_Inc_2006Q1.txt,2006-01-20,2006-01-20,1.77,2006-01-20,high,74360610_2006_1,0.01
48248010,2007.0,1.0,0.84,0.78,48248010,KLA-TENCOR CORP,KLA-Tencor Corporation,high,transcripts_by_company/KLA-Tencor_Corporation_2007Q1.txt,2007-02-05,2007-02-05,0.72,2007-02-05,high,48248010_2007_1,0.0166666666666666
22836810,2004.0,2.0,0.29,0.17,22836810,CROWN HOLDINGS INC,"Crown Media Holdings, Inc.",high,transcripts_by_company/Crown_Media_Holdings_Inc_2004Q2.txt,2004-05-10,2004-07-14,0.29,2004-07-14,high,22836810_2004_2,0.0339999999999999
58711810,2004.0,1.0,0.55,0.57,58711810,MENS WEARHOUSE INC,Men's Wearhouse,high,transcripts_by_company/Mens_Wearhouse_2004Q1.txt,2004-02-25,2004-02-25,1.35,2004-02-25,high,58711810_2004_1,0.0155555555555555
05333210,2023.0,2.0,34.12,31.83,05333210,AUTOZONE INC,"AutoZone, Inc.",high,transcripts_by_company/AutoZone_Inc_2023Q2.txt,2023-05-23,2023-05-23,34.12,2023-05-23,high,05333210_2023_2,0.97
26835310,2013.0,1.0,,,26835310,EDP SA,EDP Renovaveis SA,high,transcripts_by_company/EDP_Renovaveis_SA_2013Q1.txt,2013-02-27,2013-03-05,3.56,2013-03-05,high,26835310_2013_1,
74934Q10,2023.0,2.0,1.3,1.65,74934Q10,RCI HOSPITALITY HOLDINGS INC,"RCI Hospitality Holdings, Inc.",high,transcripts_by_company/RCI_Hospitality_Holdings_Inc_2023Q2.txt,2023-05-10,2023-05-10,1.3,2023-05-10,high,74934Q10_2023_2,0.075
53225780,2018.0,1.0,0.04,0.04,53225780,LIGHTPATH TECHNOLOGIES INC,"LightPath Technologies, Inc.",high,transcripts_by_company/LightPath_Technologies_Inc_2018Q1.txt,2018-02-13,2018-02-13,0.02,2018-02-13,high,53225780_2018_1,0.0014285714285714
36867W10,2003.0,1.0,-0.21,-0.18,36867W10,GENAISSANCE PHARMACEUTICALS,Genaissance,high,transcripts_by_company/Genaissance_2003Q1.txt,2003-02-12,2003-02-12,-1.2,2003-02-12,high,36867W10_2003_1,0.01
90389910,2017.0,3.0,,,90389910,ULTRALIFE BATTERIES INC,Ultralife Corporation,high,transcripts_by_company/Ultralife_Corporation_2017Q3.txt,2017-08-03,2017-08-03,,2017-08-03,high,90389910_2017_3,
95754110,2004.0,3.0,0.1,0.1,95754110,WESTELL TECHNOLOGIES INC,Westell Technologies,high,transcripts_by_company/Westell_Technologies_2004Q3.txt,2004-07-22,2004-07-21,0.08,2004-07-21,high,95754110_2004_3,0.0077777777777777
44894730,2008.0,4.0,-0.47,-0.34,44894730,IDT CORP,IDT Corporation,high,transcripts_by_company/IDT_Corporation_2008Q4.txt,2008-10-06,2008-10-06,-2.88,2008-10-06,high,44894730_2008_4,
41308610,2004.0,1.0,0.63,1.13,41308610,HARMAN INTERNATIONAL INDUSTRIES,"Harman International Industries, Inc",high,transcripts_by_company/Harman_International_Industries_Inc_2004Q1.txt,2004-01-28,2004-01-28,0.6,2004-01-28,high,41308610_2004_1,0.0325
48242W10,2007.0,2.0,0.3,0.31,48242W10,KBR INC,"KBR, Inc.",high,transcripts_by_company/KBR_Inc_2007Q2.txt,2007-05-04,2007-05-04,0.18,2007-05-04,high,48242W10_2007_2,0.0285714285714285
